Case #,Query,Top Match,Score,Score %,Match Type,String Score,Semantic Score,Match 1 Name,Match 1 Score,Match 1 Type,Match 2 Name,Match 2 Score,Match 2 Type,Match 3 Name,Match 3 Score,Match 3 Type,Match 4 Name,Match 4 Score,Match 4 Type,Match 5 Name,Match 5 Score,Match 5 Type,Match 6 Name,Match 6 Score,Match 6 Type,Match 7 Name,Match 7 Score,Match 7 Type,Match 8 Name,Match 8 Score,Match 8 Type,Match 9 Name,Match 9 Score,Match 9 Type,Match 10 Name,Match 10 Score,Match 10 Type,Match 11 Name,Match 11 Score,Match 11 Type,Match 12 Name,Match 12 Score,Match 12 Type,Match 13 Name,Match 13 Score,Match 13 Type,Match 14 Name,Match 14 Score,Match 14 Type,Match 15 Name,Match 15 Score,Match 15 Type,Match 16 Name,Match 16 Score,Match 16 Type,Match 17 Name,Match 17 Score,Match 17 Type,Match 18 Name,Match 18 Score,Match 18 Type,Match 19 Name,Match 19 Score,Match 19 Type,Match 20 Name,Match 20 Score,Match 20 Type
79,Christian Girls Family Ministry,Christian Girls Family Ministry,1.0000,100.00,exact,1.0000,6.1701,Christian Girls Family Ministry,100.00%,exact,Christian Girls Family Ministry Training,88.38%,hybrid,Christian Faith Fellowship Couples Ministry,74.49%,hybrid,Christian Family Fellowship Church,74.47%,hybrid,FRIENDSHIP CHRISTIAN CHURCH MINISTRY,74.36%,hybrid,Christian Bible Church Marriage Ministry,73.95%,hybrid,Community Outreach Christian Ministry,73.80%,hybrid,Christian Growth Family Ministries,73.25%,hybrid,Christian Family Bible Fellowship,73.25%,hybrid,Christian Friends Ministry,70.21%,hybrid,Christian Womens Ministry,70.06%,hybrid,Christian Youth Ministry,69.69%,hybrid,Christian Marriage Ministry,69.47%,hybrid,Christian Community Ministry,69.38%,hybrid,Family Christian Church,68.64%,hybrid,Christian Family Church,68.42%,hybrid,Fellowship Christian Ministry,68.15%,hybrid,CHRISTIAN MINISTRY FELLOWSHIP,67.97%,hybrid,Christian Fellowship Ministry,67.95%,hybrid,Christian Life Ministry,67.72%,hybrid
80,Alosa Foundation,Alosa Foundation,1.0000,100.00,exact,1.0000,6.0562,Alosa Foundation,100.00%,exact,Formosa Foundation,70.52%,hybrid,CL Foundation,66.37%,hybrid,CAP Foundation,66.08%,hybrid,FIRST FOUNDATION,65.99%,hybrid,UH FOUNDATION,65.78%,hybrid,New Foundation,65.77%,hybrid,Foundation Workshop,65.68%,hybrid,Robina Foundation,65.61%,hybrid,Alwan Foundation,65.59%,hybrid,UM Foundation,65.43%,hybrid,NEST Foundation,65.38%,hybrid,Llosa's foundation,65.38%,hybrid,Foundation Building,65.33%,hybrid,SEE Foundation,65.32%,hybrid,Barrett Foundation,65.23%,hybrid,Serra Foundation,65.22%,hybrid,Ash Foundation,65.21%,hybrid,BE Foundation,65.19%,hybrid,Give Foundation,65.12%,hybrid
81,La Chaine des Rotisseurs Wine Club of Newport Beach,La Chaine des Rotisseurs Wine Club of Newport Beach,1.0000,100.00,exact,1.0000,5.1572,La Chaine des Rotisseurs Wine Club of Newport Beach,100.00%,exact,La Chaine des Rotisseurs Wine Club of Ne,82.59%,hybrid,Newport Beach Wine Festival,52.85%,hybrid,Southern Trace Wine Club,49.11%,hybrid,Cleveland Wine Club,42.39%,hybrid,Diversity Wine Club,41.76%,hybrid,Queen Wine Club,41.71%,hybrid,The Virginia Wine Club,41.02%,hybrid,Groupe Wine Club,40.72%,hybrid,Wine La,39.86%,hybrid,Wine Club,35.35%,hybrid,Vintage West Wine Marketing,33.93%,hybrid,Classic Wine of California,33.22%,hybrid,Wine Connoisseur Magazine,33.20%,hybrid,Bowler Wine Merchants,32.67%,hybrid,Wine Connoisseur,32.55%,hybrid,Vintage Wine Society,32.34%,hybrid,Vintage Wine Distributors,32.27%,hybrid,Los Angeles Wine Tasting,32.24%,hybrid,Vintage Wine Fest,31.74%,hybrid
82,"Sumner & Ryan, LLC","Sumner & Ryan, LLC",1.0000,100.00,exact,1.0000,5.1454,"Sumner & Ryan, LLC",100.00%,exact,Miller Ryan LLC,77.16%,hybrid,Ryan Moving LLC,77.10%,hybrid,Ryan Companies,76.38%,hybrid,Sumner 360,75.11%,hybrid,Ryan Sellers,74.99%,hybrid,"Ryan Specialty, LLC",74.88%,hybrid,Ryan Law Firm,74.85%,hybrid,Ryan Ryan Law Firm,74.76%,hybrid,Ryan McCall,74.47%,hybrid,Ryan Racing LLC,74.16%,hybrid,Ryan Contracting,73.94%,hybrid,"Ryan Read, LLC",73.55%,hybrid,Ryan Enterprise,73.51%,hybrid,Sumner Baseball,73.50%,hybrid,Sumner Law Offices,73.46%,hybrid,Ryan Law,73.39%,hybrid,"Anderson and Ryan, LLC",73.22%,hybrid,Ryan Consulting,73.20%,hybrid,"Ryan Mitchell Associates, LLC",73.16%,hybrid
83,Tilt Creative & Production,Tilt Creative & Production,1.0000,100.00,exact,1.0000,5.7906,Tilt Creative & Production,100.00%,exact,Tilt Creative + Production,95.08%,hybrid,Creative Production Design,79.84%,hybrid,Creative Production Incentives,77.10%,hybrid,Tilt Production,74.53%,hybrid,Full Tilt Marketing,57.45%,hybrid,ON TILT ENTERTAINMENT,57.39%,hybrid,Creative Talent Endeavors,56.58%,hybrid,Tilt Promotions,52.99%,hybrid,Creative Productions,51.99%,hybrid,Brightly Creative,51.96%,hybrid,Creative Direction,51.90%,hybrid,Creative Creations,51.70%,hybrid,Creative Fusion,51.59%,hybrid,Creative Works,51.37%,hybrid,Impact Creative,51.34%,hybrid,Verve Creative,51.31%,hybrid,Bright Creative,51.21%,hybrid,Creative Endeavors,51.15%,hybrid,Twist Creative,51.10%,hybrid
84,Cerberus Capital,Cerberus Capital,1.0000,100.00,exact,1.0000,5.8753,Cerberus Capital,100.00%,exact,Cerberus Capital Management,90.21%,hybrid,Cerberus Capital Management L,88.00%,hybrid,Cerberus Capital Management LP,87.39%,hybrid,*Cerberus Capital,82.49%,hybrid,Cerberus Capitol Management,75.26%,hybrid,Cerberus Global Investments,74.75%,hybrid,Cerberus Law,74.50%,hybrid,CEC Capital,74.33%,hybrid,Siemens Cerberus,73.02%,hybrid,CERBERUS (CHRYSLER FINANCIAL),72.82%,hybrid,Cerberus Sentinel,72.17%,hybrid,Merus Capital,71.32%,hybrid,CEC Capital Group,70.77%,hybrid,Siemens Cerberus Division,70.67%,hybrid,CERBERUS (NEWPAGE),70.55%,hybrid,Cerberus Operations & Advisory Company,70.51%,hybrid,Ecus Capital,70.25%,hybrid,Cerverus Capital Management,70.21%,hybrid,Cerberus,65.65%,hybrid
85,Institute of Health Technology Transformation,Institute of Health Technology Transformation,1.0000,100.00,exact,1.0000,5.4643,Institute of Health Technology Transformation,100.00%,exact,Institute for Health Technology Transformation,95.82%,hybrid,INSTITUTE FOR HEALTH & TECHNOLOGY TRANSFORMATION,92.33%,hybrid,Health Science Technology Education,77.33%,hybrid,Achieve Health Care Technology,75.73%,hybrid,Technology Health Experience,72.79%,hybrid,Unified Health Technology,72.04%,hybrid,Health Technology Association,71.58%,hybrid,HEALTH TECHNOLOGY ASSESSMENT,71.19%,hybrid,Health Technology Center,71.12%,hybrid,Health Technology Exchange,70.88%,hybrid,Health Information Technology,70.73%,hybrid,Future of Health Technology,70.54%,hybrid,Health Technology,68.59%,hybrid,Health Technology Limited,62.63%,hybrid,Healthcare Innovation Technology,58.53%,hybrid,Healthy Technology Initiative,57.08%,hybrid,Healthcare Systems Technology,56.14%,hybrid,Health Tech Next Generation,55.96%,hybrid,Health Innovation Technologies,54.66%,hybrid
86,The Jones Assembly,The Jones Assembly,1.0000,100.00,exact,1.0000,6.2758,The Jones Assembly,100.00%,exact,The Jones Assembly Presents,87.75%,hybrid,General Assembly,74.35%,hybrid,1st Assembly,74.35%,hybrid,Bill Jones,74.14%,hybrid,Jones Power,74.03%,hybrid,First Assembly,73.83%,hybrid,Jones Institute,73.63%,hybrid,Jones Ag,73.61%,hybrid,Jones Companies,73.43%,hybrid,Assembly Required,73.25%,hybrid,ACTS Assembly,73.24%,hybrid,JONES & JONES PRODUCTION LTD,73.23%,hybrid,Morgan Jones,73.15%,hybrid,CC Jones,73.13%,hybrid,Jones Capital,72.99%,hybrid,J Jones,72.88%,hybrid,State Assembly,72.87%,hybrid,Ed Jones,72.84%,hybrid,Advanced Assembly,72.82%,hybrid
87,American Black Film Insitutute,American Black Film Insitutute,1.0000,100.00,exact,1.0000,5.3551,American Black Film Insitutute,100.00%,exact,American Black Film Festival,81.58%,hybrid,American Black Film Festival Ventures,80.19%,hybrid,Black Women Film Preservation,74.05%,hybrid,HOLLYWOOD BLACK FILM FESTIVAL,72.57%,hybrid,International Black Film Festival,72.34%,hybrid,National Black Film Festival,72.07%,hybrid,Independent Black Film Festival,71.51%,hybrid,CANADIAN BLACK FILM FESTIVAL,71.14%,hybrid,BLACK FILM SPACE,69.76%,hybrid,Black Film Initiative,69.29%,hybrid,American Film Works,66.65%,hybrid,American Independent Film,66.09%,hybrid,American Film Convention,64.77%,hybrid,American Film Market,64.62%,hybrid,We Make Black Films,56.19%,hybrid,Black Women Film! Canada,54.22%,hybrid,BLACK FOLKS MAKE MOVIES,53.27%,hybrid,National Black Movie Association,53.08%,hybrid,African Film Commission,51.52%,hybrid
88,Berk Tek,Berk Tek,1.0000,100.00,exact,1.0000,5.7643,Berk Tek,100.00%,exact,Berk-Tek,89.37%,hybrid,Berk Tek / Leviton,82.78%,hybrid,Berk Tck,74.57%,hybrid,Berk Technologies,73.29%,hybrid,TEK Source,73.25%,hybrid,World Tek,72.27%,hybrid,Tek Travel,71.85%,hybrid,New Tek,71.45%,hybrid,Paul Berk Travel,71.25%,hybrid,Tek Systems,71.17%,hybrid,Berk Communications,71.15%,hybrid,Tek Interests,71.11%,hybrid,Tek Productions,71.00%,hybrid,TEK Products,70.97%,hybrid,Star TEK,70.74%,hybrid,Future TEK,70.60%,hybrid,Hi G Tek,70.56%,hybrid,Stone Tek Technologies,70.32%,hybrid,V Tek,70.20%,hybrid
89,Northbridge Travel,Northbridge Travel,1.0000,100.00,exact,1.0000,6.9056,Northbridge Travel,100.00%,exact,Northbridge Communities,77.23%,hybrid,Bridge Travel,77.15%,hybrid,WestBridge Travel,77.13%,hybrid,Northbridge Environmental,76.84%,hybrid,Skybridge Travel,76.10%,hybrid,Seabridge Travel,75.82%,hybrid,Northbridge Insurance,75.47%,hybrid,KingsBridge Travel,75.30%,hybrid,Northbridge Church,75.11%,hybrid,Northbridge Trading,74.89%,hybrid,Northbridge Financial,74.80%,hybrid,Travel Bridge,74.36%,hybrid,River North Travel,74.10%,hybrid,Northbridge Assurance,73.67%,hybrid,Northbridge,67.15%,hybrid,North Bridge,46.39%,hybrid,Woodbridge Crossing,38.28%,hybrid,Travelbridge,37.66%,hybrid,Crossbridge,35.21%,hybrid
90,Kohler 2024,Kohler 2024,1.0000,100.00,exact,1.0000,5.8510,Kohler 2024,100.00%,exact,Destination Kohler,81.44%,hybrid,Kohler Distributing,81.43%,hybrid,Kohler Fixtures,80.42%,hybrid,Kohler Generators,80.13%,hybrid,Kohler Recreation,80.13%,hybrid,Destination Kohler Retail,80.03%,hybrid,Kohler Lighting,80.03%,hybrid,Kohler Germany,79.91%,hybrid,Kohler Wholesale,79.84%,hybrid,Kohler Energy,79.78%,hybrid,Kohler Expos,79.78%,hybrid,Kohler Landscape,79.70%,hybrid,Kohler Services,79.56%,hybrid,DCC Kohler,79.54%,hybrid,Kohler Design Center,79.44%,hybrid,Kohler Construction,79.38%,hybrid,Mark Kohler,79.27%,hybrid,Kohler Company Distribution Center,79.27%,hybrid,Kohler Company Kohler Learning,79.25%,hybrid
91,Louisiana State University Swim,Louisiana State University Swim,1.0000,100.00,exact,1.0000,6.4700,Louisiana State University Swim,100.00%,exact,Louisiana State Univ Swim,88.37%,hybrid,LOUISIANA STATE UNIVERSITY ATHLETICS,80.17%,hybrid,Louisiana State University USA,80.12%,hybrid,Louisiana State University Health,79.84%,hybrid,Louisiana State University Football,79.32%,hybrid,Louisiana State University Trips,79.07%,hybrid,Louisiana State University Education Alumni,78.71%,hybrid,Louisiana State University System,78.69%,hybrid,Southeastern Louisiana State University,78.13%,hybrid,Louisiana State University Press,77.99%,hybrid,Florida State Swim Team,76.04%,hybrid,Florida State Swim Meet,75.15%,hybrid,Louisiana State University,74.64%,hybrid,Louisiana Swim Team,72.82%,hybrid,State Swim Championships,70.43%,hybrid,Boston University Swim Team,70.35%,hybrid,Indiana University Swim Team,70.16%,hybrid,Emory University Swim Team,70.05%,hybrid,Tufts University Swim Team,70.02%,hybrid
92,X DO NOT USE - FRANCIS PARKER SCHOOL,X DO NOT USE - FRANCIS PARKER SCHOOL,1.0000,100.00,exact,1.0000,4.8480,X DO NOT USE - FRANCIS PARKER SCHOOL,100.00%,exact,Francis Parker School,65.19%,hybrid,Francis Parker School English Department,58.57%,hybrid,Francis Parker School of San Diego,57.93%,hybrid,Francis Parker High School,57.41%,hybrid,Francis Parker School Prom,55.92%,hybrid,Francis Parker,55.00%,hybrid,"Francis W. Parker School, Chicago",54.66%,hybrid,Francis W. Parker School,54.55%,hybrid,St. Francis Xavier Secondary School,49.72%,hybrid,Parker High School Class of 1984,49.22%,hybrid,St Francis Xavier School,47.41%,hybrid,Terry Parker High School,46.46%,hybrid,St Francis High School,46.31%,hybrid,Robert C. Parker School,46.26%,hybrid,Francis Walsh Intermediate School,46.19%,hybrid,Saint Francis Prep School,46.04%,hybrid,St. Francis Elementary School,45.87%,hybrid,St. Francis Xavier School,45.70%,hybrid,Saint Francis High School,45.24%,hybrid
93,"Mitsubishi Motor Sales of America, Incorporated","Mitsubishi Motor Sales of America, Incorporated",1.0000,100.00,exact,1.0000,5.4720,"Mitsubishi Motor Sales of America, Incorporated",100.00%,exact,Mitsubishi Motor Sales of America,97.74%,hybrid,Mitsubishi Electronic Sales America,85.44%,hybrid,Mitsubishi Motors Sales of America,85.43%,hybrid,Mitsubishi Motor Sales of Caribbean,83.66%,hybrid,Mitsubishi Electric Sales of America,83.52%,hybrid,Mitsubishi Motor Sales Of Amer,83.48%,hybrid,"Mitsubishi Motor Sales of Canada, Incorporated",83.48%,hybrid,Mitsubishi Motors Sales Caribbean,77.91%,hybrid,Mitsubishi Electric Sales Canada,77.39%,hybrid,Mitsubishi Motors N America Inc,77.01%,hybrid,Mitsubishi Electric Automotive America,76.47%,hybrid,Mitsubishi Sales Caribbean,71.18%,hybrid,MITSUBISHI ELECTRIC AMERICA,69.96%,hybrid,MITSUBISHI MOTOR,68.59%,hybrid,Mitsubishi Motor Corporation,67.45%,hybrid,Mitsubishi Motor Company,66.97%,hybrid,Mitsubishi  Motors Mexico,56.43%,hybrid,Mitsubishi Motors Dallas,55.14%,hybrid,MITSUBISHI ELECTRIC AUTOMOTIVE,55.11%,hybrid
94,Energy Distribution Partners Holdings',Energy Distribution Partners Holdings',1.0000,100.00,exact,1.0000,5.6703,Energy Distribution Partners Holdings',100.00%,exact,Energy Distribution Partners,80.53%,hybrid,Energy Distribution Partners Holdings L.P.,80.30%,hybrid,Energy Products Distribution,71.58%,hybrid,Distribution Energy Financial Group,71.51%,hybrid,Energy Distributors Partners,69.44%,hybrid,Energy Distribution Holdings,69.09%,hybrid,Energy Power Partners,68.83%,hybrid,Total Energy Partners,68.78%,hybrid,Resource Energy Partners,68.24%,hybrid,Energy Impact Partners,67.79%,hybrid,Energy Trust Partners,67.73%,hybrid,Energy Solution Partners,67.67%,hybrid,Global Energy Partners,67.29%,hybrid,Direct Energy Partners,67.25%,hybrid,Energy Service Partners,67.21%,hybrid,Energy Capital Partners,67.20%,hybrid,Home Energy Partners,67.16%,hybrid,Energy Transfer Partners,66.80%,hybrid,BP Energy Partners,66.52%,hybrid
95,ThinkAdvisor,ThinkAdvisor,1.0000,100.00,exact,1.0000,5.6218,ThinkAdvisor,100.00%,exact,Planadvisor,46.48%,hybrid,TRIPADVISOR,45.70%,hybrid,NeXtAdvisors,45.31%,hybrid,Invisors,43.33%,hybrid,TripAdvisor LLC,43.06%,hybrid,Proadvisors,42.41%,hybrid,ChannelAdvisor,41.99%,hybrid,ChannelAdvisor Corporation,41.97%,hybrid,Homeadvisor,41.32%,hybrid,PlanAdviser,41.26%,hybrid,CHANNELADVISORS,41.23%,hybrid,Envisor,41.01%,hybrid,NeXtAdvisors LLC,40.88%,hybrid,ScoutAdvisor Corporation,39.26%,hybrid,ProminenceAdvisors,38.47%,hybrid,INVIS,38.25%,hybrid,"ProAdvisors, Inc",37.86%,hybrid,KnowledgeAdvisors,37.66%,hybrid,Norvisor,37.11%,hybrid
96,Jump on it Outreach,Jump on it Outreach,1.0000,100.00,exact,1.0000,5.8716,Jump on it Outreach,100.00%,exact,Air Force Outreach Program,60.70%,hybrid,Above N Beyond Outreach,60.69%,hybrid,Outreach,59.81%,hybrid,OutReach Program Development,56.67%,hybrid,Community Outreach Program,56.18%,hybrid,Friendly Outreach Mission,55.62%,hybrid,New Creation Outreach,55.41%,hybrid,Jump,55.31%,hybrid,Outreach Youth Training,55.23%,hybrid,Community Outreach Center,54.97%,hybrid,General Human Outreach,54.96%,hybrid,Human Outreach Project,54.93%,hybrid,Breakthrough Outreach Center,54.92%,hybrid,Community Outreach Workshop,54.77%,hybrid,Outreach Incorporated,54.66%,hybrid,Outreach Training,52.31%,hybrid,Outreach Strategies,52.08%,hybrid,Outreach Project,51.68%,hybrid,Training Outreach,51.13%,hybrid
97,The Association of Ringside Consultants (ARC),The Association of Ringside Consultants (ARC),1.0000,100.00,exact,1.0000,4.7512,The Association of Ringside Consultants (ARC),100.00%,exact,Association of Ringside Physicians,69.04%,hybrid,Ringside,56.43%,hybrid,Arc-Consultants,54.60%,hybrid,"Ringside, Incorporated",54.19%,hybrid,"ARC CONSULTANTS,  INC.",50.52%,hybrid,Arcadis Consultants,50.24%,hybrid,Circle Consultants,50.06%,hybrid,Diamond Consultants,49.68%,hybrid,Ringside Talent,49.18%,hybrid,ARCOM Association,45.73%,hybrid,Arc Bridge Consultant Inc,41.16%,hybrid,5 Rings Consulting Inc.,38.61%,hybrid,ARC Consulting,38.56%,hybrid,Arc Consultancy LTD,37.35%,hybrid,Arc Consulting LLC,37.14%,hybrid,Ringler Insurance Agency,34.92%,hybrid,CBIZ Arc Consulting,34.58%,hybrid,"ARC Consulting, LLC",34.43%,hybrid,ARC Professional Services Group,33.44%,hybrid
98,SFA HASA,SFA HASA,1.0000,100.00,exact,1.0000,5.8660,SFA HASA,100.00%,exact,SFA Companies,77.60%,hybrid,SFA Leads,77.30%,hybrid,Sfa Charter,76.36%,hybrid,SFA Partners,76.35%,hybrid,SFA System Account,75.75%,hybrid,SFA Opportunity,75.17%,hybrid,SFA Design,74.87%,hybrid,SFA Designs,74.19%,hybrid,SFA Training,74.00%,hybrid,Stalla SFA,73.87%,hybrid,SFA Saniflo,73.83%,hybrid,SFA,68.59%,hybrid,SFA Inc,64.57%,hybrid,SFA Group,63.03%,hybrid,"Sfa, Incorporated",61.65%,hybrid,SFA Inc.,61.49%,hybrid,"SFA, LLC",60.18%,hybrid,SFCASA,38.71%,hybrid,SF Data,38.34%,hybrid
99,Grupo Duracell Ene 2025,Grupo Duracell Ene 2025,1.0000,100.00,exact,1.0000,5.1445,Grupo Duracell Ene 2025,100.00%,exact,Grupo GT5 Brasil,50.57%,hybrid,Duracell Research Development,50.16%,hybrid,Grupo Brasil DPE,50.08%,hybrid,Duracell Brasil,49.41%,hybrid,Grupo CLC 2024,49.25%,hybrid,Grupo GT 5,49.24%,hybrid,2025 Ag Event,47.64%,hybrid,2025 LEMA Affiliates,47.34%,hybrid,2025 OLL Trip,46.40%,hybrid,Duracell Chile,46.31%,hybrid,Convene Columbus 2025,46.24%,hybrid,DURACELL USA,46.15%,hybrid,Duracell Services,45.94%,hybrid,Professional Duracell,45.60%,hybrid,Duracell UK,45.41%,hybrid,Duracell China Ltd,44.76%,hybrid,Duracell Australia,44.47%,hybrid,Duracell International Inc.,44.37%,hybrid,Duracell Canada,44.29%,hybrid
100,World Association of Medical Law,World Association of Medical Law,1.0000,100.00,exact,1.0000,5.2650,World Association of Medical Law,100.00%,exact,World Association for Medical Law,96.50%,hybrid,World Medical Association,78.08%,hybrid,International Law Association,70.07%,hybrid,Pacific Medical Law,69.97%,hybrid,California Medical Legal Association,69.83%,hybrid,Professional Medical Education Association,69.60%,hybrid,Association Hospital Medical Education,69.34%,hybrid,Mass Medical Association,66.21%,hybrid,MEDICAL DOCTORS ASSOCIATION,66.20%,hybrid,Physicians Medical Association,65.68%,hybrid,Medical Research Association,65.67%,hybrid,National Medical Association,65.42%,hybrid,American Medical Association,64.51%,hybrid,Medical Association Management,64.50%,hybrid,Medical Management Association,64.32%,hybrid,Western Medical Association,64.29%,hybrid,Patient Medical Association,64.26%,hybrid,Patient Medical  Association,64.26%,hybrid,Medical Association Event,64.18%,hybrid
